ID,Age,Genre,Education,Pays,Nscore,Escore,Oscore,Ascore,Cscore,Impulsivite,Sensations,Cannabis,Cannabis_recode,Sans_diplome,Genre_num
1,35,Femme,Diplome professionnel,Royaume-Unis,39,36,41,37,42,-0.21711999999999998,-1.18084,non,0,0,1
2,25,Homme,Doctorat,Royaume-Unis,29,52,54,48,41,-0.71126,-0.21575,oui,1,0,0
3,35,Homme,Diplome professionnel,Royaume-Unis,31,45,39,32,34,-1.37983,0.40148,oui,1,0,0
4,18,Femme,Maitrise,Royaume-Unis,34,34,45,47,46,-1.37983,-1.18084,oui,1,0,1
5,35,Femme,Doctorat,Royaume-Unis,43,28,42,41,50,-0.21711999999999998,-0.21575,oui,1,0,1
6,65,Femme,Quitte ecole a 18 ans,Canada,29,38,34,55,52,-1.37983,-1.5485799999999998,non,0,1,1
7,45,Homme,Maitrise,Etats-Unis,31,32,42,41,48,-0.21711999999999998,0.07987000000000001,non,0,0,0
8,35,Homme,Quitte ecole a 16 ans,Royaume-Unis,24,52,39,41,52,0.19268,-0.52593,non,0,1,0
9,35,Femme,Diplome professionnel,Canada,42,55,38,48,49,-1.37983,-1.5485799999999998,non,0,0,1
10,55,Homme,Maitrise,Royaume-Unis,33,40,35,47,43,-1.37983,-0.8463700000000001,non,0,0,0
11,25,Femme,Diplome universitaire,Royaume-Unis,26,45,37,38,53,0.19268,0.07987000000000001,oui,1,0,1
12,45,Homme,Quitte Lycee ou universite sans diplome,Autre,24,40,46,30,38,0.52975,1.2247,oui,1,1,0
13,55,Femme,Diplome universitaire,Royaume-Unis,56,41,48,32,36,1.29221,0.07987000000000001,oui,1,0,1
14,55,Femme,Diplome professionnel,Canada,28,45,45,49,58,-0.71126,-0.8463700000000001,non,0,0,1
15,55,Femme,Diplome professionnel,Royaume-Unis,27,49,48,39,52,1.29221,0.7654,non,0,0,1
16,55,Homme,Diplome universitaire,Royaume-Unis,19,29,34,36,49,-0.71126,-0.52593,non,0,0,0
17,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,22,34,33,45,47,-0.21711999999999998,-2.07848,oui,1,1,1
18,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,41,31,43,40,31,-1.37983,-0.8463700000000001,oui,1,1,0
19,55,Homme,Diplome universitaire,Australie,49,39,44,30,30,-0.71126,-0.21575,oui,1,0,0
20,35,Homme,Diplome professionnel,Royaume-Unis,32,27,28,30,47,-1.37983,-2.07848,non,0,0,0
21,45,Homme,Diplome professionnel,Royaume-Unis,28,45,50,53,33,0.19268,-0.21575,oui,1,0,0
22,65,Homme,Quitte ecole avant 16 ans,Royaume-Unis,25,43,37,39,53,-0.21711999999999998,-1.18084,non,0,1,0
23,45,Homme,Diplome universitaire,Royaume-Unis,40,33,39,50,35,-0.71126,0.07987000000000001,non,0,0,0
24,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,51,17,36,45,34,-1.37983,-1.5485799999999998,oui,1,1,0
25,55,Homme,Diplome universitaire,Royaume-Unis,34,44,53,48,51,-0.21711999999999998,-0.52593,non,0,0,0
26,45,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,28,37,36,49,42,-0.21711999999999998,0.40148,non,0,1,0
27,55,Femme,Quitte ecole a 18 ans,Canada,35,28,25,38,46,0.19268,-1.5485799999999998,non,0,1,1
28,35,Homme,Diplome universitaire,Royaume-Unis,41,31,45,43,25,1.8620299999999999,0.40148,oui,1,0,0
29,35,Femme,Maitrise,Royaume-Unis,36,29,40,45,50,0.19268,-0.52593,non,0,0,1
30,45,Homme,Doctorat,Royaume-Unis,24,51,51,49,53,-0.21711999999999998,-0.52593,non,0,0,0
31,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,39,34,36,33,37,-1.37983,0.07987000000000001,oui,1,1,0
32,35,Femme,Quitte ecole a 16 ans,Autre,25,34,46,39,42,-1.37983,-0.8463700000000001,non,0,1,1
33,35,Homme,Diplome universitaire,Royaume-Unis,28,31,45,46,42,0.19268,-0.8463700000000001,oui,1,0,0
